2026-06-30 22:17:07.789 | INFO     | src.data_pipeline.feature_engineer:generate_features:13 - เริ่มสร้าง Technical & Cross-Asset Features...
2026-06-30 22:17:07.943 | INFO     | src.data_pipeline.feature_engineer:generate_target:81 - สร้าง Target: วิ่งเกิน 0.5 ATR ภายใน 3 แท่งถัดไป
2026-06-30 22:17:07.949 | DEBUG    | src.data_pipeline.feature_engineer:generate_target:103 - Drop NaN (ช่วงก่อตัว Indicator & ท้ายตาราง): 3657 -> 3458 rows
2026-06-30 22:17:08.018 | SUCCESS  | __main__:main:49 - Phase 3 เสร็จสมบูรณ์! Dataset Shape: (3458, 42)
2026-06-30 22:17:08.018 | SUCCESS  | __main__:main:50 - จำนวน Feature ทั้งหมด: 40 Features
2026-06-30 22:17:08.019 | INFO     | __main__:main:55 - โอกาสเกิด Long: 2014 ครั้ง, Short: 2218 ครั้ง จากทั้งหมด 3458 แท่ง
2026-06-30 22:17:43.225 | INFO     | __main__:main:13 - ==================================================
2026-06-30 22:17:43.225 | INFO     | __main__:main:14 - 🚀 Starting AlphaQuant-Gold [Phase 1-3]
2026-06-30 22:17:43.225 | INFO     | __main__:main:15 - ==================================================
2026-06-30 22:17:43.225 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 22:17:43.226 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading GC=F [15m] from 2026-05-01 to 2026-06-30
2026-06-30 22:17:44.345 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 22:17:44.345 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading DX-Y.NYB [15m] from 2026-05-01 to 2026-06-30
2026-06-30 22:17:44.879 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 22:17:44.879 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading SI=F [15m] from 2026-05-01 to 2026-06-30
2026-06-30 22:17:45.432 | INFO     | src.data_pipeline.synchronizer:merge_cross_assets:11 - เริ่มกระบวนการ Cross-Asset Synchronization...
2026-06-30 22:17:45.440 | DEBUG    | src.data_pipeline.synchronizer:merge_cross_assets:37 - Missing Values Cleared: ก่อน 925 -> หลัง 0
2026-06-30 22:17:45.441 | SUCCESS  | src.data_pipeline.synchronizer:merge_cross_assets:38 - Final Synchronized Shape: (3657, 15)
2026-06-30 22:17:45.441 | INFO     | src.data_pipeline.feature_engineer:generate_features:13 - เริ่มสร้าง Technical & Cross-Asset Features...
2026-06-30 22:17:45.574 | INFO     | src.data_pipeline.feature_engineer:generate_target:81 - สร้าง Target: วิ่งเกิน 0.5 ATR ภายใน 3 แท่งถัดไป
2026-06-30 22:17:45.580 | DEBUG    | src.data_pipeline.feature_engineer:generate_target:103 - Drop NaN (ช่วงก่อตัว Indicator & ท้ายตาราง): 3657 -> 3458 rows
2026-06-30 22:17:45.636 | SUCCESS  | __main__:main:49 - Phase 3 เสร็จสมบูรณ์! Dataset Shape: (3458, 42)
2026-06-30 22:17:45.636 | SUCCESS  | __main__:main:50 - จำนวน Feature ทั้งหมด: 40 Features
2026-06-30 22:17:45.636 | INFO     | __main__:main:55 - โอกาสเกิด Long: 2014 ครั้ง, Short: 2218 ครั้ง จากทั้งหมด 3458 แท่ง
2026-07-01 19:26:25.480 | INFO     | __main__:main:13 - ==================================================
2026-07-01 19:26:25.480 | INFO     | __main__:main:14 - 🚀 Starting AlphaQuant-Gold [Phase 1-3]
2026-07-01 19:26:25.480 | INFO     | __main__:main:15 - ==================================================
2026-07-01 19:26:25.480 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 19:26:25.480 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading GC=F [15m] from 2026-05-02 to 2026-07-01
2026-07-01 19:26:32.601 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 19:26:32.655 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading DX-Y.NYB [15m] from 2026-05-02 to 2026-07-01
2026-07-01 19:26:33.049 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 19:26:33.049 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading SI=F [15m] from 2026-05-02 to 2026-07-01
2026-07-01 19:26:33.383 | INFO     | src.data_pipeline.synchronizer:merge_cross_assets:11 - เริ่มกระบวนการ Cross-Asset Synchronization...
2026-07-01 19:26:33.427 | DEBUG    | src.data_pipeline.synchronizer:merge_cross_assets:37 - Missing Values Cleared: ก่อน 955 -> หลัง 0
2026-07-01 19:26:33.427 | SUCCESS  | src.data_pipeline.synchronizer:merge_cross_assets:38 - Final Synchronized Shape: (3738, 15)
2026-07-01 19:26:33.427 | INFO     | src.data_pipeline.feature_engineer:generate_features:13 - เริ่มสร้าง Technical & Cross-Asset Features...
2026-07-01 19:26:33.578 | INFO     | src.data_pipeline.feature_engineer:generate_target:81 - สร้าง Target: วิ่งเกิน 0.5 ATR ภายใน 3 แท่งถัดไป
2026-07-01 19:26:33.597 | DEBUG    | src.data_pipeline.feature_engineer:generate_target:103 - Drop NaN (ช่วงก่อตัว Indicator & ท้ายตาราง): 3738 -> 3539 rows
2026-07-01 19:26:34.792 | SUCCESS  | __main__:main:49 - Phase 3 เสร็จสมบูรณ์! Dataset Shape: (3539, 42)
2026-07-01 19:26:34.792 | SUCCESS  | __main__:main:50 - จำนวน Feature ทั้งหมด: 40 Features
2026-07-01 19:26:34.793 | INFO     | __main__:main:55 - โอกาสเกิด Long: 2059 ครั้ง, Short: 2267 ครั้ง จากทั้งหมด 3539 แท่ง
2026-07-01 19:45:36.830 | INFO     | __main__:main:14 - ==================================================
2026-07-01 19:45:36.831 | INFO     | __main__:main:15 - 🚀 Starting AlphaQuant-Gold [Phase 1-3]
2026-07-01 19:45:36.831 | INFO     | __main__:main:16 - ==================================================
2026-07-01 19:45:36.832 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 19:45:36.833 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading GC=F [15m] from 2026-05-02 to 2026-07-01
2026-07-01 19:45:37.749 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 19:45:37.749 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading DX-Y.NYB [15m] from 2026-05-02 to 2026-07-01
2026-07-01 19:45:38.081 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 19:45:38.081 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading SI=F [15m] from 2026-05-02 to 2026-07-01
2026-07-01 19:45:38.456 | INFO     | src.data_pipeline.synchronizer:merge_cross_assets:11 - เริ่มกระบวนการ Cross-Asset Synchronization...
2026-07-01 19:45:38.463 | DEBUG    | src.data_pipeline.synchronizer:merge_cross_assets:37 - Missing Values Cleared: ก่อน 955 -> หลัง 0
2026-07-01 19:45:38.463 | SUCCESS  | src.data_pipeline.synchronizer:merge_cross_assets:38 - Final Synchronized Shape: (3739, 15)
2026-07-01 19:45:38.463 | INFO     | src.data_pipeline.feature_engineer:generate_features:13 - เริ่มสร้าง Technical & Cross-Asset Features...
2026-07-01 19:45:38.602 | INFO     | src.data_pipeline.feature_engineer:generate_target:81 - สร้าง Target: วิ่งเกิน 0.5 ATR ภายใน 3 แท่งถัดไป
2026-07-01 19:45:38.608 | DEBUG    | src.data_pipeline.feature_engineer:generate_target:103 - Drop NaN (ช่วงก่อตัว Indicator & ท้ายตาราง): 3739 -> 3540 rows
2026-07-01 19:45:38.679 | SUCCESS  | __main__:main:50 - Phase 3 เสร็จสมบูรณ์! Dataset Shape: (3540, 42)
2026-07-01 19:45:38.679 | SUCCESS  | __main__:main:51 - จำนวน Feature ทั้งหมด: 40 Features
2026-07-01 19:45:41.319 | INFO     | __main__:main:69 - เตรียมข้อมูล X (Features) และ y (Target)...
2026-07-01 19:45:41.332 | INFO     | __main__:main:83 - จำนวน Features ทั้งหมดที่จะเข้าโมเดล: 31
2026-07-01 19:45:41.333 | INFO     | src.ml_engine.lgb_trainer:optimize_and_train:62 - เริ่มกระบวนการ Optuna Hyperparameter Tuning (LightGBM)...
2026-07-01 19:45:46.457 | SUCCESS  | src.ml_engine.lgb_trainer:optimize_and_train:72 - ค้นพบ Best Params: {'learning_rate': 0.09957716841662707, 'num_leaves': 8, 'max_depth': 4, 'min_child_samples': 195, 'feature_fraction': 0.5191592275865665, 'bagging_fraction': 0.899957985361294, 'reg_alpha': 9.634703003913621, 'reg_lambda': 0.12103708423100919, 'objective': 'binary', 'verbosity': -1}
2026-07-01 19:45:46.457 | INFO     | src.ml_engine.lgb_trainer:optimize_and_train:75 - กำลัง Train โมเดลรอบสุดท้ายด้วย Best Params...
2026-07-01 19:45:46.617 | INFO     | __main__:main:95 - 
--- 🌟 Top 5 Feature Importance 🌟 ---
2026-07-01 19:45:46.671 | SUCCESS  | __main__:main:102 - บันทึกโมเดลสำเร็จที่: models/lgb_long_model.pkl
2026-07-01 20:02:00.264 | INFO     | __main__:main:15 - ==================================================
2026-07-01 20:02:00.264 | INFO     | __main__:main:16 - 🚀 Starting AlphaQuant-Gold [Phase 1-3]
2026-07-01 20:02:00.264 | INFO     | __main__:main:17 - ==================================================
2026-07-01 20:02:00.264 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 20:02:00.264 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading GC=F [15m] from 2026-05-02 to 2026-07-01
